player_id,player_name,draft_year,draft_pick,draft_round,draft_team,college_name,birth_date,age_at_draft,height_in,weight_lb,position,has_college_stats,coll_season,coll_class,coll_pos,coll_conf,coll_g,coll_mp_per_g,coll_pts_per_g,coll_trb_per_g,coll_ast_per_g,coll_stl_per_g,coll_blk_per_g,coll_tov_per_g,coll_fg_pct,coll_fg3_pct,coll_ft_pct,coll_efg_pct,coll_per,coll_ts_pct,coll_usg_pct,coll_bpm,career_seasons,career_g,career_ws,career_ws_per_48,career_bpm,career_vorp,peak_bpm,window_seasons,early_vorp_sum,early_bpm_mean,early_ws_sum,early_per_mean,outcome_tier
telfase01,Sebastian Telfair,2004,13,1,POR,,1985-06-09,19.05,72.0,165.0,PG,False,,,,,,,,,,,,,,,,,,,,,10.0,564.0,5.0,0.02,-3.4,-4.2,-1.3,5,-3.8,-3.88,2.2,10.5,bust
humphkr01,Kris Humphries,2004,14,1,UTA,Minnesota,1985-02-06,19.38,81.0,235.0,PF,True,2003-04,FR,F,Big Ten,29.0,34.1,21.7,10.1,0.7,0.9,1.1,2.8,0.444,0.34,0.742,0.461,,0.518,34.6,,13.0,800.0,30.3,0.102,-1.7,1.2,0.9,5,-1.3,-3.26,3.9,13.06,rotation
jeffeal01,Al Jefferson,2004,15,1,BOS,,1985-01-04,19.47,82.0,289.0,C,False,,,,,,,,,,,,,,,,,,,,,14.0,915.0,71.0,0.13,1.2,21.3,3.7,5,6.2,0.1,24.2,19.68,all_star
snydeki01,Kirk Snyder,2004,16,1,UTA,Nevada,1983-06-05,21.06,78.0,225.0,SF,True,2003-04,JR,G,WAC,34.0,31.7,18.8,5.7,3.4,1.0,0.6,3.5,0.431,0.348,0.731,0.487,,0.538,,,4.0,211.0,4.5,0.061,-1.2,0.7,1.3,5,0.8,-0.82,4.7,12.62,rotation
smithjo03,Josh Smith,2004,17,1,ATL,,1985-12-05,18.56,81.0,225.0,PF,False,,,,,,,,,,,,,,,,,,,,,13.0,894.0,51.0,0.084,1.7,27.2,5.1,5,10.9,1.3,21.1,17.08,superstar
smithjr01,J.R. Smith,2004,18,1,NOH,,1985-09-09,18.8,78.0,225.0,SG,False,,,,,,,,,,,,,,,,,,,,,16.0,977.0,46.3,0.084,0.2,14.7,2.6,5,5.1,0.46,14.6,14.82,all_star
wrighdo01,Dorell Wright,2004,19,1,MIA,,1985-12-02,18.57,81.0,205.0,SF,False,,,,,,,,,,,,,,,,,,,,,11.0,549.0,25.9,0.101,0.9,9.1,2.6,5,1.0,-4.08,4.1,9.84,starter
nelsoja01,Jameer Nelson,2004,20,1,DEN,Saint Joseph's,1982-02-09,22.38,72.0,190.0,PG,True,2003-04,SR,G,A-10,32.0,33.9,20.6,4.7,5.3,2.8,0.0,2.8,0.475,0.39,0.792,0.549,,0.584,,,14.0,878.0,48.3,0.094,-0.1,11.6,5.1,5,7.0,1.38,23.0,16.8,all_star
podkopa01,Pavel Podkolzin,2004,21,1,UTA,,1985-01-15,19.44,89.0,260.0,C,False,,,,,,,,,,,,,,,,,,,,,2.0,6.0,-0.1,-0.163,-15.0,-0.1,-9.3,2,0.0,-17.35,-0.1,-4.9,bust
khryavi01,Viktor Khryapa,2004,22,1,NJN,,1982-08-03,21.9,81.0,210.0,PF,False,,,,,,,,,,,,,,,,,,,,,4.0,143.0,2.0,0.041,-3.5,-0.9,-1.8,4,-0.9,-3.2,2.0,9.93,bust
moniase01,Sergei Monia,2004,23,1,POR,,1983-04-15,21.2,80.0,220.0,SF,False,,,,,,,,,,,,,,,,,,,,,1.0,26.0,-0.2,-0.025,-5.3,-0.3,-4.6,4,-0.6,-5.07,-0.4,8.2,bust
westde01,Delonte West,2004,24,1,BOS,Saint Joseph's,1983-07-26,20.92,75.0,180.0,PG,True,2003-04,JR,G,A-10,32.0,33.5,18.9,5.4,4.7,1.7,0.2,2.6,0.51,0.412,0.892,0.577,,0.627,,,8.0,432.0,24.5,0.099,0.9,8.7,1.9,5,4.3,-0.3,11.2,12.66,starter
